ind,user_id,date,yes_no,start_etime,end_etime,start_stime,end_stime,source,target,trip_time_sec,path,day
484,c829fa4183f082b4,02/07/2021,no,1612673203703,1612673553996,2021-02-07 12:46:43,2021-02-07 12:52:33,L1_CP_zone_3,L2_FC_zone_1,350,"['L1_CP_zone_3', 'L1_CP_zone_2', 'L1_Yassin_walkway', 'L2_FC_zone_1']",weekend
540,d5d061b14b4e60a0,02/20/2021,no,1613819485582,1613819901288,2021-02-20 19:11:25,2021-02-20 19:18:21,L1_CLL,L2_ELL_1,415,"['L1_CLL', 'L2_CLL', 'L2_FC_zone_8_walkway', 'L2_FC_zone_7', 'L2_ELL_1']",weekend
542,d5d061b14b4e60a0,02/06/2021,no,1612574775018,1612575339863,2021-02-06 09:26:15,2021-02-06 09:35:39,B1_Supermarket_entrance_1,B1_Supermarket_entrance_2,564,"['B1_Supermarket_entrance_1', 'B1_Posb_bank', 'B1_CLL', 'B1_Supermarket_entrance_2']",weekend
543,d5d061b14b4e60a0,02/06/2021,no,1612575455149,1612575959188,2021-02-06 09:37:35,2021-02-06 09:45:59,L1_Shop_walkway_2,L1_Thoroughfare,504,"['L1_Shop_walkway_2', 'L1_Shop_walkway_1', 'L1_CP_zone_2', 'L1_CP_zone_1', 'L1_Entrance_6', 'L1_Thoroughfare']",weekend
544,d5d061b14b4e60a0,02/06/2021,no,1612579151329,1612603204400,2021-02-06 10:39:11,2021-02-06 17:20:04,L1_Entrance_4,L1_Thoroughfare,24053,"['L1_Entrance_4', 'L1_Entrance_5', 'L1_Entrance_6', 'L1_Thoroughfare']",weekend
545,d5d061b14b4e60a0,02/06/2021,no,1612603346084,1612604287708,2021-02-06 17:22:26,2021-02-06 17:38:07,L1_Entrance_4,L1_Thoroughfare,941,"['L1_Entrance_4', 'L1_Entrance_5', 'L1_Entrance_6', 'L1_Thoroughfare']",weekend
553,d87398d326eff32c,02/28/2021,no,1614499601103,1614504231330,2021-02-28 16:06:41,2021-02-28 17:23:51,L4_R2_LL,L4_R2_deck,4630,"['L4_R2_LL', 'L4_R2_LL_corridor', 'L4_R2_deck']",weekend
554,d87398d326eff32c,02/28/2021,no,1614504440478,1614506587506,2021-02-28 17:27:20,2021-02-28 18:03:07,L4_R2_deck,L4_R2_LL,2147,"['L4_R2_deck', 'L4_R2_LL_corridor', 'L4_R2_LL']",weekend
562,f42cb0283c9533a5,02/20/2021,no,1613794038428,1613800539509,2021-02-20 12:07:18,2021-02-20 13:55:39,L9_R2_LL,L6_CLL,6501,"['L9_R2_LL', 'L8_R2_LL', 'L7_R2_LL', 'L6_R2_LL', 'L6_R2_LL_corridor', 'L6_Deck_4', 'L6_FC_walkway', 'L6_ST_5', 'L6_AAH_walkway', 'L6_CLL']",weekend
563,f42cb0283c9533a5,02/20/2021,no,1613803471287,1613815125479,2021-02-20 14:44:31,2021-02-20 17:58:45,L6_CLL,L9_R2_LL,11654,"['L6_CLL', 'L6_AAH_walkway', 'L6_ST_5', 'L6_FC_walkway', 'L6_Deck_4', 'L6_R2_LL_corridor', 'L6_R2_LL', 'L7_R2_LL', 'L8_R2_LL', 'L9_R2_LL']",weekend
572,f42cb0283c9533a5,02/28/2021,no,1614468557049,1614482356712,2021-02-28 07:29:17,2021-02-28 11:19:16,L1_Entrance_1,L1_Entrance_7,13799,"['L1_Entrance_1', 'L1_Entrance_1_lobby', 'L1_Yassin_walkway', 'L1_CP_zone_2', 'L1_CP_zone_1', 'L1_Entrance_7']",weekend
573,f42cb0283c9533a5,02/28/2021,no,1614508879767,1614509412249,2021-02-28 18:41:19,2021-02-28 18:50:12,L1_CP_zone_3,L9_R2_LL,532,"['L1_CP_zone_3', 'L1_CP_zone_4', 'L1_R2_LL', 'L4_R2_LL', 'L5_R2_LL', 'L6_R2_LL', 'L7_R2_LL', 'L8_R2_LL', 'L9_R2_LL']",weekend
574,f42cb0283c9533a5,02/28/2021,no,1614509549681,1614518869509,2021-02-28 18:52:29,2021-02-28 21:27:49,L8_R2_LL,L6_CLL,9319,"['L8_R2_LL', 'L7_R2_LL', 'L6_R2_LL', 'L6_R2_LL_corridor', 'L6_Deck_4', 'L6_FC_walkway', 'L6_ST_5', 'L6_AAH_walkway', 'L6_CLL']",weekend
