ind,user_id,date,yes_no,start_etime,end_etime,start_stime,end_stime,source,target,trip_time_sec,path
70,6028cb1bef3b93e7,02/26/2021,yes,1614305499618,1614308696382,2021-02-25 21:11:39,2021-02-25 22:04:56,L1_Entrance_4,L1_PG,3196,"['L1_Entrance_4', 'L1_CP_zone_3', 'L1_Entrance_4', 'L1_Entrance_5', 'L1_PG']"
71,6028cb1bef3b93e7,02/10/2021,yes,1612929019535,1612929968532,2021-02-09 22:50:19,2021-02-09 23:06:08,L1_CP_zone_3,L2_FC_zone_11,948,"['L1_CP_zone_3', 'L1_CP_zone_2', 'L1_Yassin_walkway', 'L2_FC_zone_1', 'L2_FC_zone_8', 'L2_FC_zone_8_walkway', 'L2_FC_zone_9_walkway', 'L2_FC_zone_11']"
72,6028cb1bef3b93e7,02/10/2021,yes,1612931070934,1612932543751,2021-02-09 23:24:30,2021-02-09 23:49:03,L2_FC_zone_8,L1_Shop_walkway_3,1472,"['L2_FC_zone_8', 'L2_FC_zone_1', 'L2_FC_zone_8', 'L2_FC_zone_8_walkway', 'L2_CLL', 'L1_CLL', 'B1_CLL', 'B1_Posb_bank', 'B1_Supermarket_entrance_1', 'L1_Shop_walkway_3']"
73,65b0de4f9a16a5f2,02/04/2021,yes,1612396529941,1612402409395,2021-02-03 18:55:29,2021-02-03 20:33:29,L4_R2_LL,L9_CG_garden_zone_1,5879,"['L4_R2_LL', 'L5_R2_LL', 'L6_R2_LL', 'L6_R2_LL_corridor', 'L6_Deck_4', 'L6_FC_walkway', 'L6_FC', 'L6_ST_4', 'L6_AAH_walkway', 'L6_CLL', 'L6_CCC_walkway', 'L6_SLL_corridor', 'L6_SLL', 'L7_SLL', 'L8_SLL', 'L9_SLL', 'L9_SLL_corridor', 'L9_CG_sitting_area', 'L9_CG_entrance', 'L9_CG_garden_zone_1']"
74,65b0de4f9a16a5f2,02/04/2021,yes,1612404155887,1612404758696,2021-02-03 21:02:35,2021-02-03 21:12:38,L9_CG_garden_zone_1,L6_ST_1,602,"['L9_CG_garden_zone_1', 'L9_CG_entrance', 'L9_CG_sitting_area', 'L9_SLL_corridor', 'L9_SLL', 'L8_SLL', 'L7_SLL', 'L6_SLL', 'L2_SLL', 'L1_SLL', 'L2_SLL', 'L6_SLL', 'L6_SLL_corridor', 'L6_CCC_walkway', 'L6_ST_1']"
75,65b0de4f9a16a5f2,02/04/2021,yes,1612409745491,1612410167407,2021-02-03 22:35:45,2021-02-03 22:42:47,L6_CLL,L4_R2_LL,421,"['L6_CLL', 'L4_CLL', 'L3_CLL', 'L2_CLL', 'L1_CLL', 'L1_Shop_walkway_2', 'L1_Shop_walkway_3', 'L1_Entrance_mrt', 'L1_Entrance_7', 'L1_CP_zone_1', 'L1_Entrance_6', 'L1_R2_LL', 'L4_R2_LL']"
76,65b0de4f9a16a5f2,02/04/2021,yes,1612431750580,1612432000606,2021-02-04 04:42:30,2021-02-04 04:46:40,L4_R2_deck,L1_Entrance_7,250,"['L4_R2_deck', 'L4_R2_LL_corridor', 'L4_R2_LL', 'L1_R2_LL', 'L1_Entrance_6', 'L1_CP_zone_1', 'L1_Entrance_7']"
77,65b0de4f9a16a5f2,02/04/2021,yes,1612434584526,1612435121983,2021-02-04 05:29:44,2021-02-04 05:38:41,L1_Entrance_8,L4_R2_LL,537,"['L1_Entrance_8', 'L1_ELL', 'L2_ELL_2', 'L6_ELL', 'L6_ELL_corridor', 'L6_AAH_walkway', 'L6_CCC_walkway', 'L6_ST_1', 'L6_CCC_walkway', 'L6_AAH_walkway', 'L6_CLL', 'L6_AAH_walkway', 'L6_ST_4', 'L6_FC', 'L6_FC_walkway', 'L6_Deck_4', 'L6_R2_LL_corridor', 'L6_R2_LL', 'L5_R2_LL', 'L4_R2_LL']"
78,65b0de4f9a16a5f2,02/10/2021,yes,1612921452485,1612921565672,2021-02-09 20:44:12,2021-02-09 20:46:05,L4_R2_LL,L6_AAH_walkway,113,"['L4_R2_LL', 'L5_R2_LL', 'L6_R2_LL', 'L6_R2_LL_corridor', 'L6_Deck_4', 'L6_FC_walkway', 'L6_ST_5', 'L6_FC', 'L6_ST_4', 'L6_AAH_walkway']"
79,65b0de4f9a16a5f2,02/10/2021,yes,1612927397658,1612927902594,2021-02-09 22:23:17,2021-02-09 22:31:42,L6_ELL,L4_R2_LL,504,"['L6_ELL', 'L6_ELL_corridor', 'L6_AAH_walkway', 'L6_CCC_walkway', 'L6_CLL', 'L4_CLL', 'L3_CLL', 'L2_CLL', 'L2_FC_zone_8_walkway', 'L2_FC_zone_4', 'L2_FC_zone_1', 'L1_Yassin_walkway', 'L1_CP_zone_2', 'L1_CP_zone_3', 'L1_CP_zone_4', 'L1_R2_LL', 'L4_R2_LL']"
